Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-02-19,HI,STRAUB CLINIC AND HOSPITAL,HONOLULU,Short Term,161.4,161.4,159.0,118.7,118.7,4.6,-999999.0,159.0,20.0,20.0,15.0,15.0,-999999.0,-999999.0,1130.0,1130.0,1113.0,831.0,831.0,32.0,11.0,1113.0,140.0,140.0,105.0,105.0,6.0,4.0
2021-02-19,HI,WILCOX MEMORIAL HOSPITAL,LIHUE,Short Term,72.1,72.1,72.0,41.4,41.4,-999999.0,-999999.0,72.0,7.0,7.0,5.6,5.6,-999999.0,-999999.0,505.0,505.0,504.0,290.0,290.0,6.0,-999999.0,504.0,49.0,49.0,39.0,39.0,-999999.0,-999999.0
2021-02-12,HI,ADVENTIST HEALTH CASTLE,KAILUA,Short Term,106.3,106.3,106.3,91.9,91.9,-999999.0,-999999.0,106.3,8.4,8.4,8.3,8.3,-999999.0,-999999.0,744.0,744.0,744.0,643.0,643.0,11.0,11.0,744.0,59.0,59.0,58.0,58.0,-999999.0,-999999.0
2021-02-19,HI,KAU HOSPITAL,PAHALA,Critical Access Hospitals,21.0,21.0,21.0,17.7,17.7,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,124.0,124.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,KOHALA HOSPITAL,KAPAAU,Critical Access Hospitals,25.0,25.0,25.0,17.0,17.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,119.0,119.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,HI,KULA HOSPITAL,KULA,Critical Access Hospitals,9.0,9.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,28.0,28.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,HI,KOHALA HOSPITAL,KAPAAU,Critical Access Hospitals,25.0,25.0,25.0,17.0,17.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,119.0,119.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,24.0,0.0,0.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,13.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,HI,MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,Critical Access Hospitals,21.0,21.0,15.0,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,105.0,16.0,16.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,HI,LEAHI HOSPITAL,HONOLULU,Long Term,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,HI,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Short Term,249.0,249.0,219.0,189.3,189.3,11.1,7.4,219.0,22.6,22.6,22.6,22.6,-999999.0,-999999.0,1743.0,1743.0,1533.0,1325.0,1325.0,78.0,52.0,1533.0,158.0,158.0,158.0,158.0,23.0,21.0
2021-01-29,HI,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Short Term,249.0,249.0,219.0,186.6,186.6,14.9,12.1,219.0,21.7,21.7,21.7,21.7,-999999.0,-999999.0,1743.0,1743.0,1533.0,1306.0,1306.0,104.0,85.0,1533.0,152.0,152.0,152.0,152.0,18.0,17.0
2021-01-22,HI,STRAUB CLINIC AND HOSPITAL,HONOLULU,Short Term,160.6,160.6,159.0,125.1,125.1,9.0,-999999.0,159.0,20.0,20.0,14.0,14.0,-999999.0,0.0,1124.0,1124.0,1113.0,876.0,876.0,63.0,26.0,1113.0,140.0,140.0,98.0,98.0,9.0,0.0
2021-02-05,HI,WAHIAWA GENERAL HOSPITAL,WAHIAWA,Short Term,42.0,42.0,40.0,21.3,21.3,6.4,6.4,40.0,4.3,4.3,-999999.0,-999999.0,-999999.0,0.0,294.0,294.0,280.0,149.0,149.0,45.0,45.0,280.0,30.0,30.0,11.0,11.0,-999999.0,0.0
2021-02-05,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,24.0,0.0,0.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,5.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
